genes,baseMean,log2FoldChange,lfcSE,pvalue,padj
Tlr6,19.631554664850785,-0.5309343932624394,0.20592318444356658,2.9073489470923714e-5,0.001584256684802343
Slco3a1,127.55942661092027,-0.2607913859747313,0.09624842837739646,3.136063049691281e-5,0.0017016144658133414
mt-Nd5,2255.9342791850704,0.11363040310129066,0.03896253736188645,3.330740601410642e-5,0.0017995878562960636
H3f3a,3121.0278034422786,0.05112114836550388,0.012978028359754234,3.456088792736136e-5,0.0018594341011045768
Ifi206,300.51364860592327,-0.23048458536758892,0.08779714708410598,3.528665485082145e-5,0.0018905047731211106
Crlf2,436.9439606225062,-0.12235701068220117,0.04410786572643416,3.588768619346463e-5,0.0019146606136103243
Cd96,322.1525450840302,0.20419526481996894,0.07935936352562747,3.6594155368983056e-5,0.0019361496892527092
Rps2,10810.889358683884,0.08294446491865332,0.02376523520341489,3.654997730745869e-5,0.0019361496892527092
Ifih1,119.23155260357186,-0.20600920296405473,0.08050096344601548,3.845765566027355e-5,0.0020179982194409385
Icosl,35.00459889901088,0.3955591698663307,0.15155622336029445,3.836120872545557e-5,0.0020179982194409385
Il1rl1,97.0506533743217,0.5636945240570156,0.2403032312981691,3.916065787973813e-5,0.002046465363215332
Zfas1,621.3067760601856,-0.12399908331770956,0.04556278315644217,4.016544020079312e-5,0.0020904062367359715
A430093F15Rik,300.252838228962,-0.16128834092884306,0.06393332759959612,4.05385396385378e-5,0.0021012476379308758
Rbl1,127.23616610275464,-0.18852951954164024,0.07494846090737221,4.133187471809246e-5,0.002133695281499583
Il18bp,19.209199997487037,-0.5307350221885896,0.2253320749992652,4.2954882928624265e-5,0.0022085391621890645
Raet1e,130.42769896236288,-0.18179378546636066,0.07337566900158941,4.600094875633904e-5,0.0023556550104099567
